Cue,Target,Cond,Cat,FreqCue,FreqDiff,ConcrCue,ConcrDiff,ImaCue,ImaDiff,
Wachs,Dachs,PHON,animals,0.58,0.15,7.19,1.95,6.07,2.68,
Baer,Dachs,CAT+ASS,,0.73,,8.22,,8.49,,
Kamm,Dachs,NONE,,0.59,,6.27,,5.81,,
Dachs,Dachs,IDEN,,0.36,,7.1,,5.87,,
Puppe,Suppe,PHON,things we eat,0.76,0.18,7.78,1.49,7.9,2.07,
Zwiebel,Suppe,CAT+ASS,,0.72,,6.71,,5.86,,
Hammer,Suppe,NONE,,0.9,,6.29,,5.83,,
Suppe,Suppe,IDEN,,1.06,,6.91,,6.75,,
Kuh,Schuh,PHON,things we wear,0.87,0.4,7.81,1.31,7.94,1.38,
Kleid,Schuh,CAT+ASS,,1.27,,6.7,,7.95,,
Nest,Schuh,NONE,,0.89,,6.5,,6.57,,
Schuh,Schuh,IDEN,,0.74,,7.58,,7.03,,
Bauch,Lauch,PHON,things we eat,1.28,0.3,6.89,2.34,8.02,2.27,
Kohl,Lauch,CAT+ASS,,1.27,,5.13,,5.75,,
Schiff,Lauch,NONE,,1.57,,7.47,,6.7,,
Lauch,Lauch,IDEN,,-0.33,,6.96,,6.73,,
Schornstein,Schwein,PHON,animals,0.46,0.08,6.99,0.88,6.33,1.28,
Ziege,Schwein,CAT+ASS,,0.47,,7.73,,7.17,,
Pfanne,Schwein,NONE,,0.54,,6.85,,5.89,,
Schwein,Schwein,IDEN,,0.9,,7.3,,7.4,,
Schraube,Traube,PHON,things we eat,0.28,0.44,6.06,2.14,5.43,2.22,
Apfel,Traube,CAT+ASS,,0.72,,7.95,,7.65,,
Fussball,Traube,NONE,,0.59,,5.81,,7.57,,
Traube,Traube,IDEN,,0.12,,7.03,,6.3,,
Topf,Knopf,PHON,things we wear,0.89,0.26,6.91,1.22,6.09,1.43,
Hemd,Knopf,CAT+ASS,,1.15,,8.13,,7.52,,
Gras,Knopf,NONE,,1.13,,7.06,,7.27,,
Knopf,Knopf,IDEN,,0.73,,6.65,,6.82,,
Eis,Reis,PHON,things we eat,1.17,0.17,7.24,0.59,8.15,1.6,
Mehl,Reis,CAT+ASS,,1.07,,7.29,,6.55,,
Horn,Reis,NONE,,1,,6.7,,6.81,,
Reis,Reis,IDEN,,0.88,,8,,7.14,,
Schwert,Pferd,PHON,animals,1.04,0.37,7.18,0.43,7.56,1.41,
Hirsch,Pferd,CAT+ASS,,0.9,,7.6,,7.61,,
Zahn,Pferd,NONE,,0.67,,7.17,,6.2,,
Pferd,Pferd,IDEN,,1.46,,7.67,,7.51,,
Tisch,Fisch,PHON,animals,2.05,0.5,7.77,0.98,7.89,1.01,
Hund,Fisch,CAT+ASS,,1.55,,7.16,,6.88,,
Brot,Fisch,NONE,,1.57,,6.79,,7.8,,
Fisch,Fisch,IDEN,,1.21,,7.41,,7.6,,
Klee,Tee,PHON,things we drink,0.74,0.7,5.35,2.05,6.17,0.9,
Bier,Tee,CAT+ASS,,1.44,,7.4,,7.07,,
Maus,Tee,NONE,,0.79,,6.81,,6.87,,
Tee,Tee,IDEN,,1.33,,6.91,,6.83,,
Rose,Hose,PHON,things we wear,0.99,0.39,7.54,0.39,7.27,0.54,
Anzug,Hose,CAT+ASS,,1.15,,7.18,,7.21,,
Fahrrad,Hose,NONE,,0.76,,7.57,,7.75,,
Hose,Hose,IDEN,,1.03,,7.7,,7.41,,
Pantoffel,Kartoffel,PHON,things we eat,-0.11,0.48,7.65,,7.72,,
Schnitzel,Kartoffel,CAT+ASS,,0.08,,,,,,
Pelikan,Kartoffel,NONE,,-0.4,,8.46,,7.46,,
Kartoffel,Kartoffel,IDEN,,,,7.54,,7.3,,
Pedal,Wal,PHON,animals,0.006,0.464,6.11,1.34,5.52,1.53,
Otter,Wal,CAT+ASS,,0.47,,7.45,,6.52,,
Gurke,Wal,NONE,,0.27,,6.34,,7.05,,
Wal,Wal,IDEN,,-0.1,,7.5,,7.98,,
Bein,Wein,PHON,things we drink,1.26,0.49,6.43,1.51,6.54,1.93,
Saft,Wein,CAT+ASS,,0.77,,6.08,,5.98,,
Zelt,Wein,NONE,,0.84,,7.59,,7.91,,
Wein,Wein,IDEN,,1.58,,6.48,,6.46,,
Schnee,Kaffee,PHON,things we drink,1.5,0.02,6.67,0.62,7.76,0.69,
Milch,Kaffee,CAT+ASS,,1.52,,7.21,,7.07,,
Hut,Kaffee,NONE,,1.52,,6.59,,7.37,,
Kaffee,Kaffee,IDEN,,1.58,,5.1,,4.86,,
Schlagzeug,Flugzeug,PHON,transport,0.4,0.14,6.84,0.22,5.94,1.84,
Ballon,Flugzeug,CAT+ASS,,0.33,,6.96,,6.92,,
Affe,Flugzeug,NONE,,0.47,,7.06,,7.78,,
Flugzeug,Flugzeug,IDEN,,1.21,,7.71,,7.63,,
Schwan,Strassenbahn,PHON,transport,0.28,0.38,7.39,2.2,7.42,1.05,
Bus,Strassenbahn,CAT+ASS,,0.66,,6.36,,6.77,,
Huhn,Strassenbahn,NONE,,0.66,,8.56,,7.82,,
Strassenbahn,Strassenbahn,IDEN,,0.91,,6.62,,7.23,,
Tapete,Rakete,PHON,transport,0.53,0.16,6.12,1.94,5.55,3.12,
Hubschrauber,Rakete,CAT+ASS,,0.37,,7.89,,7.78,,
Elefant,Rakete,NONE,,0.4,,8.06,,8.67,,
Rakete,Rakete,IDEN,,0.54,,6.66,,6.85,,
Flasche,Tasche,PHON,things we wear,1.36,0.35,7.99,0.89,6.68,0.63,
Stiefel,Tasche,CAT+ASS,,1.05,,7.35,,6.99,,
Löffel,Tasche,NONE,,1.01,,8.24,,7.31,,
Tasche,Tasche,IDEN,,1.44,,7.44,,6.87,,
